id,team1_id,team1,team2,winner,date,pbp_caster,mvp,blue,red,team2_id,co_caster_1,co_caster_2
45,damwongaming,DAMWON Gaming,Invictus Gaming,DAMWON Gaming,2019-10-20 15:00:00,Quickshot,ShowMaker,DAMWON Gaming,Invictus Gaming,invictusgaming,Kobe,
46,damwongaming,DAMWON Gaming,ahq eSports Club,DAMWON Gaming,2019-10-20 16:00:00,Quickshot,Nuguri,DAMWON Gaming,ahq eSports Club,ahqesportsclub,Kobe,
47,invictusgaming,Invictus Gaming,Team Liquid,Invictus Gaming,2019-10-20 17:00:00,Quickshot,TheShy,Invictus Gaming,Team Liquid,teamliquid,Kobe,
48,funplusphoenix,FunPlus Phoenix,Splyce,FunPlus Phoenix,2019-10-17 19:00:00,Medic,Doinb,FunPlus Phoenix,Splyce,splyce,Jatt,Froskurinn
49,g2esports,G2 Esports,Griffin,Griffin,2019-10-18 19:00:00,Drakos,Tarzan,G2 Esports,Griffin,griffin,Jatt,Vedius
50,clutchgaming,Clutch Gaming,Unicorns Of Love,Unicorns Of Love,2019-10-02 11:00:00,Medic,AHaHaCiK,Clutch Gaming,Unicorns Of Love,unicornsoflove,Jatt,
51,detonationfocusme,DetonatioN FocusMe,Splyce,Splyce,2019-10-02 12:00:00,Medic,Kobbe,DetonatioN FocusMe,Splyce,splyce,Jatt,
52,mammoth,MAMMOTH,Unicorns Of Love,MAMMOTH,2019-10-02 13:00:00,Medic,Triple,MAMMOTH,Unicorns Of Love,unicornsoflove,Jatt,
53,detonationfocusme,DetonatioN FocusMe,Isurus,Isurus,2019-10-02 14:00:00,Atlus,Warangelus,DetonatioN FocusMe,Isurus,isurus,EGym,
54,mammoth,MAMMOTH,Clutch Gaming,Clutch Gaming,2019-10-02 15:00:00,Atlus,Huni,MAMMOTH,Clutch Gaming,clutchgaming,EGym,
55,splyce,Splyce,Isurus,Splyce,2019-10-02 16:00:00,Atlus,Humanoid,Splyce,Isurus,isurus,EGym,
56,royalyouth,Royal Youth,DAMWON Gaming,DAMWON Gaming,2019-10-03 11:00:00,Atlus,Nuguri,Royal Youth,DAMWON Gaming,damwongaming,Froskurinn,
57,mega,MEGA,Hong Kong Attitude,Hong Kong Attitude,2019-10-03 12:00:00,Atlus,3Z,MEGA,Hong Kong Attitude,hongkongattitude,Froskurinn,
58,damwongaming,DAMWON Gaming,Flamengo eSports,DAMWON Gaming,2019-10-03 13:00:00,Atlus,Canyon,DAMWON Gaming,Flamengo eSports,flamengoesports,Froskurinn,
59,mega,MEGA,Lowkey Esports,MEGA,2019-10-03 14:00:00,Drakos,Rockky,MEGA,Lowkey Esports,lowkeyesports,EGym,
60,royalyouth,Royal Youth,Flamengo eSports,Flamengo eSports,2019-10-03 15:00:00,Drakos,Luci,Royal Youth,Flamengo eSports,flamengoesports,EGym,
61,hongkongattitude,Hong Kong Attitude,Lowkey Esports,Lowkey Esports,2019-10-03 16:00:00,Drakos,Artifact,Hong Kong Attitude,Lowkey Esports,lowkeyesports,EGym,
62,unicornsoflove,Unicorns Of Love,Clutch Gaming,Unicorns Of Love,2019-10-04 10:00:00,Drakos,AHaHaCiK,Unicorns Of Love,Clutch Gaming,clutchgaming,Jatt,
63,splyce,Splyce,DetonatioN FocusMe,DetonatioN FocusMe,2019-10-04 11:00:00,Drakos,Evi,Splyce,DetonatioN FocusMe,detonationfocusme,Jatt,
64,unicornsoflove,Unicorns Of Love,MAMMOTH,MAMMOTH,2019-10-04 12:00:00,Drakos,k1ng,Unicorns Of Love,MAMMOTH,mammoth,Jatt,
65,isurus,Isurus,DetonatioN FocusMe,Isurus,2019-10-04 13:00:00,Medic,Warangelus,Isurus,DetonatioN FocusMe,detonationfocusme,Spawn,
66,clutchgaming,Clutch Gaming,MAMMOTH,Clutch Gaming,2019-10-04 14:00:00,Medic,Huni,Clutch Gaming,MAMMOTH,mammoth,Spawn,
67,isurus,Isurus,Splyce,Splyce,2019-10-04 15:00:00,Medic,Humanoid,Isurus,Splyce,splyce,Spawn,
68,damwongaming,DAMWON Gaming,Royal Youth,DAMWON Gaming,2019-10-05 10:00:00,Atlus,ShowMaker,DAMWON Gaming,Royal Youth,royalyouth,Jatt,
69,hongkongattitude,Hong Kong Attitude,MEGA,Hong Kong Attitude,2019-10-05 11:00:00,Atlus,Crash,Hong Kong Attitude,MEGA,mega,Jatt,
70,flamengoesports,Flamengo eSports,DAMWON Gaming,DAMWON Gaming,2019-10-05 12:00:00,Atlus,ShowMaker,Flamengo eSports,DAMWON Gaming,damwongaming,Jatt,
71,lowkeyesports,Lowkey Esports,MEGA,Lowkey Esports,2019-10-05 13:00:00,Drakos,DNK,Lowkey Esports,MEGA,mega,Ender,
72,flamengoesports,Flamengo eSports,Royal Youth,Royal Youth,2019-10-05 14:00:00,Drakos,Pilot,Flamengo eSports,Royal Youth,royalyouth,Ender,
73,lowkeyesports,Lowkey Esports,Hong Kong Attitude,Hong Kong Attitude,2019-10-05 15:00:00,Drakos,Crash,Lowkey Esports,Hong Kong Attitude,hongkongattitude,Ender,
74,unicornsoflove,Unicorns Of Love,MAMMOTH,Unicorns Of Love,2019-10-04 16:00:00,Medic,BOSS,MAMMOTH,Unicorns Of Love,mammoth,Spawn,
75,clutchgaming,Clutch Gaming,Unicorns Of Love,Clutch Gaming,2019-10-04 17:00:00,Medic,Huni,Clutch Gaming,Unicorns Of Love,unicornsoflove,Spawn,
76,flamengoesports,Flamengo eSports,Royal Youth,Royal Youth,2019-10-05 16:00:00,Drakos,Armut,Royal Youth,Flamengo eSports,royalyouth,Ender,
77,damwongaming,DAMWON Gaming,Lowkey Esports,DAMWON Gaming,2019-10-07 11:00:00,Atlus,ShowMaker,Lowkey Esports,DAMWON Gaming,lowkeyesports,Jatt,
78,clutchgaming,Clutch Gaming,Royal Youth,Clutch Gaming,2019-10-07 16:00:00,Medic,Cody Sun,Clutch Gaming,Royal Youth,royalyouth,EGym,
79,hongkongattitude,Hong Kong Attitude,Isurus,Hong Kong Attitude,2019-10-08 11:00:00,Medic,Kaiwing,Hong Kong Attitude,Isurus,isurus,Spawn,
80,splyce,Splyce,Unicorns Of Love,Splyce,2019-10-08 16:00:00,Drakos,Kobbe,Unicorns Of Love,Splyce,unicornsoflove,Ender,
